t,x,y,z,w
73.050000,36.355423,3.910967,-7.490027,-5.895907
73.200000,35.220726,3.025457,-7.639327,-5.910355
73.350000,34.063611,2.138027,-7.788910,-5.921481
73.500000,32.884041,1.249191,-7.938716,-5.929037
73.650000,31.681989,0.359508,-8.088666,-5.932747
73.800000,30.457439,-0.530425,-8.238660,-5.932306
73.950000,29.210395,-1.419960,-8.388573,-5.927375
74.100000,27.940879,-2.308394,-8.538245,-5.917576
74.250000,26.648943,-3.194968,-8.687476,-5.902492
74.400000,25.334671,-4.078855,-8.836013,-5.881665
74.550000,23.998190,-4.959155,-8.983537,-5.854590
74.700000,22.639680,-5.834892,-9.129648,-5.820719
74.850000,21.259391,-6.705002,-9.273846,-5.779468
75.000000,19.857653,-7.568333,-9.415509,-5.730223
75.150000,18.434903,-8.423638,-9.553872,-5.672363
75.300000,16.991703,-9.269581,-9.688005,-5.605287
75.450000,15.528768,-10.104737,-9.816795,-5.528465
75.600000,14.046996,-10.927612,-9.938952,-5.441491
75.750000,12.547487,-11.736666,-10.053023,-5.344166
75.900000,11.031571,-12.530348,-10.157453,-5.236570
76.050000,9.500811,-13.307145,-10.250674,-5.119138
76.200000,7.957002,-14.065638,-10.331238,-4.992691
76.350000,6.402133,-14.804561,-10.397956,-4.858425
76.500000,4.838348,-15.522849,-10.450022,-4.717826
76.650000,3.267877,-16.219675,-10.487092,-4.572548
76.800000,1.692965,-16.894463,-10.509289,-4.424261
