A,B,x
-22,26,1.1182557206586128
-22,27,1.1568917228078393
-22,28,1.1951335432600705
-22,29,1.2329805601828483
-21,-30,-1.3192385654779253
-21,-29,-1.2808815295761753
-21,-28,-1.2420833272901897
-21,-27,-1.2028424522397023
-21,-26,-1.1631581216414768
-21,-25,-1.123030348148019
-21,-24,-1.0824600141108227
-21,-23,-1.0414489476785107
-21,-22,-1.0
-21,-21,-0.9581171226528802
-21,-20,-0.9158054442605609
-21,-19,-0.8730713451025529
-21,-18,-0.8299225283658195
-21,-17,-0.7863680865379844
-21,-16,-0.7424185613130259
-21,-15,-0.6980859952755769
-21,-14,-0.6533839735605217
-21,-13,-0.6083276536599136
-21,-12,-0.5629337815787853
-21,-11,-0.5172206926336825
-21,-10,-0.4712082953494914
-21,-9,-0.4249180371455695
-21,-8,-0.37837285081217725
-21,-7,-0.33159708115952435
-21,-6,-0.2846163916666313
-21,-5,-0.2374576514531165
-21,-4,-0.19014880342687487
-21,-3,-0.14271871500333003
-21,-2,-0.09519701332355032
-21,-1,-0.04761390739352046
-21,0,0.0
-21,1,0.04761390739352046
-21,2,0.09519701332355032
-21,3,0.14271871500333003
-21,4,0.19014880342687487
-21,5,0.2374576514531165
-21,6,0.2846163916666313
-21,7,0.33159708115952435
-21,8,0.37837285081217725
-21,9,0.4249180371455695
-21,10,0.4712082953494914
-21,11,0.5172206926336825
-21,12,0.5629337815787853
-21,13,0.6083276536599136
-21,14,0.6533839735605217
-21,15,0.6980859952755769
-21,16,0.7424185613130259
-21,17,0.7863680865379844
-21,18,0.8299225283658195
-21,19,0.8730713451025529
-21,20,0.9158054442605609
-21,21,0.9581171226528802
-21,22,1.0
-21,23,1.0414489476785107
-21,24,1.0824600141108227
-21,25,1.123030348148019
-21,26,1.1631581216414768
-21,27,1.2028424522397023
-21,28,1.2420833272901897
-21,29,1.2808815295761753
-20,-30,-1.3711174827909076
-20,-29,-1.3318710075110736
-20,-28,-1.2921323924983072
-20,-27,-1.2518981865919738
-20,-26,-1.2111656984286119
-20,-25,-1.1699330884893204
-20,-24,-1.1281994660551289
-20,-23,-1.0859649905084805
-20,-22,-1.0432309762159437
-20,-21,-1.0
-20,-20,-0.9562760099588581
-20,-19,-0.9120644341272197
-20,-18,-0.8673722871944461
-20,-17,-0.8222082732188345
-20,-16,-0.7765828820094891
-20,-15,-0.7305084766049537
-20,-14,-0.6839993690771176
-20,-13,-0.6370718817484952
-20,-12,-0.5897443908503449
-20,-11,-0.5420373496875422
-20,-10,-0.49397328853113287
-20,-9,-0.44557678874498097
-20,-8,-0.3968744290772459
-20,-7,-0.34789470261152877
-20,-6,-0.29866790356837525
-20,-5,-0.24922598395730466
-20,-4,-0.19960238097427088
-20,-3,-0.14983181698150091
-20,-2,-0.0999500748503429
-20,-1,-0.049993752342578794
-20,0,0.0
-20,1,0.049993752342578794
